title,count
芯片测试工程师,16
HR 实习生,16
系统集成工程师,16
系统测试工程师,16
推荐算法专家,15
执行董事,15
产品运营专家,15
Applied Scientist,15
证券事务代表,15
培训经理,15
结构经理,15
产品运营实习生,15
海外增长负责人,15
高级运营专家,15
后端软件工程师,15
高级工业设计师,15
资深产品运营,15
Python,15
IT 技术支持,15
现场应用工程师,15
UX/交互设计师,15
游戏社区运营,15
HRBP 负责人,15
海外业务负责人,15
大数据工程师,15
硬件研发工程师,15
Engineer,15
Teaching Assistant,15
高级产品设计师,15
市场部负责人,15
内容策略产品经理,15
财务经理／主管,15
量化开发工程师,15
销售代表,15
Staff Software Engineer,15
项目合伙人,15
Data Analyst,15
助理品牌经理,15
外贸业务员,15
AI 解决方案实习生,15
高级市场总监,15
高级热设计工程师,15
媒介总监,15
职员,15
高级推荐算法工程师,15
公关高级经理,15
人力资源专员／助理,15
执行制片人,15
招聘顾问,15
供应链经理,15
行业运营,15
高级后端研发工程师,15
机器人产品经理,15
运维开发工程师,15
核心研发,15
品牌负责人,15
用户研究员,15
运营经理/主管,15
税务经理,14
品牌设计师,14
应用研究,14
C/C++ 开发工程师,14
高级数据工程师,14
其他后端开发,14
前端研发,14
技术 Leader,14
资深体验设计师,14
CFO 首席财务官,14
WEB 前端工程师,14
区域销售总监,14
解决方案工程师,14
市场助理,14
实习算法工程师,14
项目管理工程师,14
实施顾问,14
采购经理/主管,14
高级采购经理,14
机器人算法工程师,14
FPGA 开发工程师,14
用户型产品经理,14
整合营销专家,14
高级产品运营经理,14
副经理,14
Recruiter,14
运营市场经理,14
研发组长,14
服务端研发,14
大模型产品经理,14
国内公关负责人,14
设计工程师,14
高级运营总监,14
创始人/CEO,14
内容运营实习生,14
部门主管,14
Account Executive,14
自主创业,14
产品研发总监,14
自然语言处理工程师,14
品牌营销专家,14
创始合伙人,14
运营专员,14
首席技术官 CTO,14
社交产品运营主管,14
HRBP 高级经理,14
总编,14
经理助理,14
创始人&CEO,14
嵌入式研发工程师,14
销售助理,14
Graduate Research Assistant,14
大客户销售经理,14
Management Trainee,14
数据产品专家,14
材料研发工程师,14
商业化负责人,13
内容运营负责人,13
高级产研项目经理,13
创业者,13
量化研究员,13
系统开发工程师,13
人力资源负责人,13
自动驾驶产品商业化负责人,13
客户成功经理,13
AE-AM,13
AI 应用开发工程师,13
软件项目经理,13
iOS 软件开发工程师,13
AM-SAM,13
C#,13
研发工程师（机械结构）,13
研发部经理,13
Team Lead,13
用户产品运营,13
助理,13
HRBP 总监,13
Java 软件开发工程师,13
Front-end Engineer,13
用户研究,13
平面设计,13
管理咨询顾问,13
资深设计师,13
品牌策划,13
人力总监,13
Research Scientist Intern,13
AI 架构师,13
资深测试工程师,13
高级算法研究员,13
中台产品经理,13
AI 训练师,13
董事,13
资深项目经理,13
采购专员,13
IT 工程师,13
运维经理,13
Agent 策略产品经理,13
实习项目经理,13
资深产品专家,13
大模型工程师,13
测试组长,13
Agent 工程师,13
Quantitative Research Intern,13
iOS,13
研究人员,13
Developer,13
Digital Marketing Manager,13
创业合伙人,13
产品市场经理,13
设计组长,13
数据仓库工程师,13
AI 产品,13
软件架构师,12
会计主管,12
研究交易实习生,12
副总裁／副总经理,12
业务与兼并收购分析师,12
高级专员,12
战略业务拓展经理,12
内容营销专家,12
营销顾问,12
Senior UX Designer,12
战略咨询顾问,12
Senior China HR Manager,12
高级系统架构师,12
游戏运营,12
ETL 工程师,12
高级专家,12
算法工程师实习生,12
采销经理,12
AE,12
财务分析经理,12
市场部实习生,12
商业分析实习生,12
AI 测试工程师,12
售后经理,12
计算机视觉算法实习生,12
大客户代表,12
市场部总监,12
高级软件工程师（L12),12
媒介策划主管,12
移动端工程师,12
首席技术官,12
政府关系,12
英语翻译,12
HR 专员,12
AI 平台产品经理,12
联合创始人兼首席运营官,12
增长产品负责人,12
FPGA 工程师,12
高级客户执行,12
策划,12
Software Engineering Intern,12
Senior Associate,12
产品 leader,12
商家运营,12
研究交易员,12
测试平台开发工程师,12
博士研究员,12
Data Scientist Intern,12
海外营销经理,12
KOL 整合营销负责人,12
Co-founder,12
商业产品经理,12
广告优化师,12
PHP,12
电商总监,12
AI 研发工程师,12
网站设计实习生,12
实习软件工程师,12
教学助理,12
制作人,12
区域负责人,12
可靠性工程师,12
座舱产品经理,12
法律顾问,12
市场推广经理,12
设计专家,12
算法工程师（虚线技术负责人）,12
技术研发经理,12
AI 负责人,12
UX+UI,12
销售运营,12
Engineering Manager,12
安卓开发工程师,12
项目运营,12
集团副总裁,12
CTO＆联合创始人,12
中级软件开发工程师,12
产品,12
高级法律顾问,11
非金属材料工程师,11
美术总监,11
高级税务顾问,11
Senior HRBP,11
财务,11
模具工程师,11
资深 AI 产品经理,11
高级结构设计工程师,11
Senior Account Manager,11
大模型应用开发工程师,11
Research Staff Member,11
Python 后端开发工程师,11
用户增长经理,11
Investment Analyst Intern,11
Java 后端,11
Summer Intern,11
前端 Leader,11
行政总监,11
资深美术指导,11
科研实习生,11
中后台产品经理,11
量化研究员（实习）,11
管理顾问,11
资深技术项目经理,11
供应链负责人,11
移动产品经理,11
营销策划经理,11
增长营销经理,11
应用工程师,11
技术副总裁,11
高级硬件开发工程师,11
市场经理／主管,11
用户研究专家,11
人力行政总监,11
高级策划经理,11
政府关系经理,11
UI 设计主管,11
品牌市场总监,11
新媒体编辑,11
机械设计师,11
高级咨询师,11
实习分析师,11
IT Manager,11
HRBP Manager,11
品牌营销设计师,11
内容编辑,11
行业总监,11
产品开发工程师,11
首席信息官 CIO,11
可靠性测试工程师,11
产品设计,11
Senior Manager,11
渠道运营,11
高级战略经理 - 全球商业化策略,11
研究经理,11
副总裁/副总经理/VP,11
资深用户体验设计师,11
电机控制算法工程师,11
高级前端,11
Senior Account Executive,11
资深研发,11
用户产品,11
产品项目经理,11
业务线负责人,11
大数据负责人,11
资深交互设计师,11
品牌营销总监,11
高级测试开发工程师,11
数据挖掘,11
交付项目经理,11
前端高级开发工程师,11
内容主编,11
机械结构设计工程师,11
创意视觉设计,11
数据平台负责人,11
Vice President,11
海外市场推广,11
内容策划,11
Brand Manager,11
前端技术专家,11
副主任,11
海外国家经理,11
培训主管,11
高级产品营销经理,11
服务端开发,11
主策划,11
副总,11
资深文案,11
事业部负责人,11
NPI 工程师,11
机械设备工程师,11
高级用户体验设计师,11
公关专员,10
PM,10
UX/UI 设计师,10
SQE,10
Machine Learning Engineer Intern,10
技术副总监,10
UI/UX Designer,10
开发,10
游戏制作人,10
研发,10
技术美术,10
Full Stack Developer,10
平台运营,10
高级机械结构工程师,10
TL,10
助理咨询顾问,10
大模型应用算法工程师,10
技术 VP,10
研究型实习生,10
Head of Product,10
研发项目经理,10
外贸经理,10
高级财务总监,10
活动策划,10
计算机视觉工程师,10
PHP 工程师,10
品牌策划经理,10
技术架构师,10
P7,10
国家经理,10
投资经理助理（实习）,10
高级媒介经理,10
媒介负责人,10
系统软件工程师,10
业务分析与软件开发工程师,10
编辑记者,10
战略投资经理,10
技术团队负责人,10
后端 Java 开发工程师,10
Technical Manager,10
SEO Manager,10
科长,10
高级研发经理,10
感知算法工程师,10
Founder & CEO,10
资深后端开发工程师,10
Executive Assistant,10
推荐算法实习生,10
海外产品运营,10
音频算法工程师,10
HR Manager,10
资深分析师,10
财经记者,10
数据科学专家,10
前端项目负责人,10
高级 iOS 开发工程师,10
商业数据分析师,10
Java 后端开发工程师,10
行业研究员,10
PCB 工程师,10
Web 前端开发,10
业务技术负责人,10
数据研发,10
Software Development Engineer Intern,10
高级设计师,10
高级编辑,10
分公司／代表处负责人,10
Ph.D. Candidate,10
市场运营,10
首席运营官,10
Software engineer,10
UIUX 设计师,10
Business Development Manager,10
PR Manager,10
人事行政专员,10
商业分析专家 - 团队 Leader,10
产研负责人,10
高级客户主任,10
电商产品经理,10
中国区总经理,10
Planning Manager,10
AI 应用工程师,10
软件工程师 SDE1（系统／网络）,10
品牌高级经理,10
行业运营专家,10
SAE,10
助理副总裁,10
Marketing Intern,10
用户增长专家,10
高级战略经理,10
SLAM 算法工程师,10
新媒体运营经理,10
社媒品牌经理,10
商业化产品负责人,10
开发组长,10
博士生,10
UI 设计,10
golang 开发工程师,10
Art Director,10
美术指导,10
战略总监,10
高级 Android 开发工程师,10
Sales Director,10
C++ 软件工程师,10
CHO,10
增长产品运营,10
测试负责人,10
城市经理,10
交付经理,10
CRM 产品经理,10
Senior UX/UI Designer,10
营销负责人,10
Java 架构师,10
